Stock Symbol,Company Name,DARS Rating,Yield,Stock Price,Annual Dividend,Ex-Div Date,Payout Frequency,Pay Date,Sector,Industry,Qualified Dividend,Record Date,Declare Date,ADR
OXLC,Oxford Lane Capital Corp,0.8,19.57%,$8.07,$1.6200,2020-03-16,Monthly,2020-03-31,Financial,Closed End Fund Equity,Non-Qualified,2020-03-17,2019-10-29,No
FRO,Frontline Ltd.,0.8,19.54%,$8.19,$1.6000,2020-03-12,Quarter,2020-03-26,Services,Shipping,Unknown,2020-03-13,2020-02-26,No
NGL,NGL Energy Partners L.P.,0.2,18.12%,$8.16,$1.5600,2020-02-06,Quarter,2020-02-14,Basic Materials,Oil And Gas Refining And Marketing,Unknown,2020-02-07,2020-01-24,No
ECC,Eagle Point Credit Company Inc.,0.6,17.84%,$13.45,$2.4000,2020-03-11,Monthly,2020-03-31,Financial,Credit Services,Qualified,2020-03-12,2020-01-02,No
CRT,Cross Timbers Royalty Trust Units,0.6,17.19%,$7.40,$1.2719,2020-02-27,Monthly,2020-03-13,Basic Materials,Oil And Gas Drilling And Exploration,Unknown,2020-02-28,2020-02-18,No
MDRR,"Medalist Diversified REIT, Inc.",0.2,17.12%,$2.75,$0.5000,2020-02-10,Quarter,2020-03-10,Financial,Reit Diversified,Non-Qualified,2020-02-11,2019-11-29,No
PBT,Permian Basin Royalty Trust Units Ben. Int.,0.2,17.00%,$3.74,$0.6033,2020-02-27,Monthly,2020-03-13,Financial,Diversified Investments,Unknown,2020-02-28,2020-02-18,No
GGN,Gabelli Global Gold Natural Resources & Income Trust Com Shs Ben Int,0.8,16.85%,$3.56,$0.6000,2020-03-16,Monthly,2020-03-24,Financial,Closed End Fund Equity,Unknown,2020-03-17,2019-11-15,No
PVL,Permianville Royalty Trust,1,16.61%,$1.82,$0.2940,2020-02-27,Monthly,2020-03-13,Basic Materials,Oil And Gas Refining And Marketing,Non-Qualified,2020-02-28,2020-02-18,No
DKL,Delek Logistics Partners LP,0.8,16.47%,$21.49,$3.5400,2020-02-03,Quarter,2020-02-12,Basic Materials,Independent Oil And Gas,Unknown,2020-02-04,2020-01-24,No
USDP,USD Partners LP,0.8,16.46%,$9.04,$1.4800,2020-02-07,Quarter,2020-02-19,Services,Railroads,Unknown,2020-02-10,2020-01-30,No
ORC,Orchid Island Capital Inc,2,16.22%,$5.73,$0.9600,2020-02-27,Monthly,2020-03-27,Financial,Mortgage Investment,Non-Qualified,2020-02-28,2020-02-12,No
MVO,MV Oil Trust,0.2,16.17%,$4.56,$0.7600,2020-01-14,Quarter,2020-01-24,Basic Materials,Oil And Gas Drilling And Exploration,Non-Qualified,2020-01-15,2020-01-03,No
GECC,Great Elm Capital Corp,0.8,15.94%,$6.25,$0.9960,2020-03-30,Monthly,2020-04-15,Financial,Asset Management,Unknown,2020-03-31,2019-12-06,No
ITUB,Itau Unibanco Banco Holding SA,1.6,15.48%,$7.07,$1.0946,2020-02-25,Monthly,2020-03-16,Financial,Foreign Money Center Banks,Unknown,2020-02-26,N/A,Yes
USAC,Usa Compression Partners LP,0.8,15.16%,$13.68,$2.1000,2020-01-24,Quarter,2020-02-07,Basic Materials,Oil And Gas Equipment And Services,Unknown,2020-01-27,2020-01-16,No
MSB,Mesabi Trust,0.4,15.10%,$17.55,$2.8000,2020-01-29,Quarter,2020-02-20,Financial,Diversified Investments,Unknown,2020-01-30,2020-01-14,No
MARPS,Marine Petroleum Trust Units Ben. Int.,0.2,15.05%,$1.64,$0.2618,2020-02-27,Quarter,2020-03-30,Financial,Diversified Investments,Non-Qualified,2020-02-28,2020-02-18,No
BKEP,Blueknight Energy Partners L.P.,0.4,14.95%,$1.07,$0.1600,2020-02-03,Quarter,2020-02-14,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-04,2020-01-22,No
OXSQ,Oxford Square Capital Corp.,1,14.81%,$5.22,$0.8040,2020-03-16,Monthly,2020-03-31,Financial,Diversified Investments,Unknown,2020-03-17,2019-10-25,No
HIE,Miller/Howard High Income Equity Fund Common Shares of Beneficial Interest,0.8,14.73%,$9.45,$1.3920,2020-03-23,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-24,2020-01-02,No
MAC,Macerich Company,1,14.69%,$20.42,$3.0000,2020-02-20,Quarter,2020-03-03,Financial,Reit Retail,Non-Qualified,2020-02-21,2020-01-31,No
OCCI,OFS Credit Company Inc,1,14.58%,$14.00,$2.0808,2020-03-23,Monthly,2020-03-31,Financial,Diversified Investments,Qualified,2020-03-24,2020-01-29,No
MPLX,MPLX LP,1.6,14.47%,$20.29,$2.7500,2020-02-03,Quarter,2020-02-14,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-04,2020-01-23,No
NDP,"Tortoise Energy Independence Fund, Inc.",0.2,14.39%,$2.72,$0.4000,2020-02-20,Quarter,2020-02-28,Financial,Closed End Fund Equity,Unknown,2020-02-21,2020-02-12,No
FSK,FS KKR Capital Corp.,1.4,14.34%,$5.30,$0.7600,2020-03-17,Quarter,2020-04-02,Financial,Asset Management,Unknown,2020-03-18,2020-02-27,No
TCRD,"THL Credit, Inc.",1.2,14.21%,$5.79,$0.8400,2019-12-13,Quarter,2019-12-31,Financial,Investment Brokerage Regional,Non-Qualified,2019-12-16,2019-10-31,No
CNXM,CNX Midstream Partners LP,2.4,14.15%,$11.71,$1.6572,2020-02-04,Quarter,2020-02-13,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-05,2020-01-23,No
UAN,CVR Partners L.P. ,0.2,14.14%,$1.90,$0.2800,2019-11-01,Quarter,2019-11-12,Basic Materials,Agricultural Chemicals,Unknown,2019-11-04,2019-10-22,No
HMLP,Hoegh LNG Partners LP,1.6,14.08%,$12.50,$1.7600,2020-01-29,Quarter,2020-02-14,Services,Shipping,Unknown,2020-01-30,2020-01-16,No
GPP,Green Plains Partners LP,1,13.91%,$13.66,$1.9000,2020-01-30,Quarter,2020-02-07,Basic Materials,Oil And Gas Pipelines,Unknown,2020-01-31,2020-01-16,No
RIV,Rivernorth Opportunities Fund Inc.,1.2,13.79%,$15.30,$2.1600,2020-03-16,Monthly,2020-03-31,Financial,Asset Management,Unknown,2020-03-17,2020-01-03,No
CPTA,Capitala Finance Corp,1,13.71%,$7.29,$0.9996,2020-03-20,Monthly,2020-03-30,Financial,Closed End Fund Equity,Qualified,2020-03-23,2020-01-02,No
NYMT,New York Mortgage Trust Inc,2.4,13.61%,$5.70,$0.8000,2019-12-19,Quarter,2020-01-27,Financial,Reit Residential,Non-Qualified,2019-12-20,2019-12-10,No
BSM,Black Stone Minerals LP,0.4,13.56%,$8.85,$1.2000,2020-02-13,Quarter,2020-02-24,Services,Business Services,Unknown,2020-02-17,2020-02-05,No
MRCC,Monroe Capital Corp,1.2,13.50%,$10.03,$1.4000,2019-12-13,Quarter,2019-12-31,Financial,Closed End Fund Equity,Unknown,2019-12-16,2019-12-02,No
FLMN,Falcon Minerals Corporation,1.2,13.50%,$3.99,$0.5400,2020-02-24,Quarter,2020-03-09,Basic Materials,Oil And Gas Drilling And Exploration,Qualified,2020-02-25,2020-02-13,No
GPM,Guggenheim Enhanced Equity Income Fund,1,13.45%,$7.14,$0.9600,2019-12-12,Quarter,2019-12-31,Financial,Closed End Fund Equity,Unknown,2019-12-13,2019-12-02,No
VGR,Vector Group,1.6,13.40%,$11.62,$1.6000,2019-12-16,Quarter,2019-12-30,Consumer Goods,Cigarettes,Qualified,2019-12-17,2019-11-05,No
OFS,"Orchard First Source Capital, Inc.",1,13.39%,$10.15,$1.3600,2019-12-23,Quarter,2019-12-31,Financial,Closed End Fund Equity,Non-Qualified,2019-12-24,2019-11-06,No
PRT,PermRock Royalty Trust,1.2,13.33%,$4.16,$0.6134,2020-02-27,Monthly,2020-03-13,Basic Materials,Oil And Gas Equipment And Services,Unknown,2020-02-28,2020-02-18,No
CPLP,Capital Product Partners L.P.,1,13.31%,$10.52,$1.4000,2020-01-31,Quarter,2020-02-11,Services,Shipping,Unknown,2020-02-03,2020-01-21,No
KRP,"Kimbell Royalty Partners, LP",1.2,13.17%,$11.54,$1.5200,2020-01-31,Quarter,2020-02-10,Basic Materials,Oil And Gas Drilling And Exploration,Unknown,2020-02-03,2020-01-24,No
NMM,Navios Maritime Partners L.P.,1.2,13.16%,$8.97,$1.2000,2020-02-10,Quarter,2020-02-13,Services,Shipping,Unknown,2020-02-11,2020-01-21,No
GEO,"The Geo Group, Inc.",1.6,13.11%,$14.64,$1.9200,2020-02-13,Quarter,2020-02-21,Services,Security And Protection Services,Non-Qualified,2020-02-14,2020-02-03,No
NRP,National Resource Partners L.P.,1.2,13.07%,$13.79,$1.8000,2020-02-06,Quarter,2020-02-14,Basic Materials,Industrial Metals And Minerals,Unknown,2020-02-07,2020-01-23,No
ZTR,"Zweig Total Return Fund, Inc. (The) Com.",1,13.04%,$9.72,$1.3560,2020-03-11,Monthly,2020-03-19,Financial,Closed End Fund Debt,Unknown,2020-03-12,2019-12-02,No
HEP,Holly Energy Partners L.P.,1.8,12.97%,$20.74,$2.6900,2020-01-31,Quarter,2020-02-13,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-03,2020-01-23,No
KYN,Kayne Anderson MLP Investment Co,0.8,12.96%,$11.11,$1.4400,2020-03-18,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-19,2019-12-18,No
XIN,"Xinyuan Real Estate Co., Ltd.",0.4,12.96%,$2.89,$0.3900,2019-12-17,Quarter,2020-01-16,Industrial Goods,Residential Construction,Unknown,2019-12-18,N/A,Yes
BGS,B&G Foods,0.4,12.84%,$14.80,$1.9000,2020-03-30,Quarter,2020-04-30,Consumer Goods,Processed And Packaged Goods,Qualified,2020-03-31,2020-02-24,No
AHC,A. H. Belo Corporation,2.2,12.80%,$2.50,$0.3200,2020-02-13,Quarter,2020-03-06,Services,Publishing Newspapers,Qualified,2020-02-14,2019-12-05,No
IEP,Icahn Enterprises L.P. ,1.8,12.75%,$62.73,$8.0000,2019-11-14,Quarter,2019-12-20,Financial,Property Management,Unknown,2019-11-15,2019-11-01,No
GGT,Gabelli Global Multimedia Trust Inc.,1,12.74%,$6.91,$0.8800,2020-03-16,Quarter,2020-03-24,Financial,Closed End Fund Equity,Unknown,2020-03-17,2020-02-12,No
KNOP,KNOT Offshore Partners LP,2.4,12.72%,$16.35,$2.0800,2020-01-30,Quarter,2020-02-13,Services,Shipping,Unknown,2020-01-31,2020-01-15,No
QUAD,Quad Graphics,0.2,12.68%,$4.80,$0.6000,2020-02-27,Quarter,2020-03-09,Services,Business Services,Qualified,2020-02-28,2020-02-18,No
SHI,"Sinopec Shanghai Petrochemical Co., Ltd. ADR (Sponsored) Repr Cl H Shs",0.6,12.62%,$25.44,$3.2211,2019-06-21,Annually,2019-07-29,Basic Materials,Oil And Gas Refining And Marketing,Unknown,2019-06-24,N/A,Yes
OMP,Oasis Midstream Partners LP,1.2,12.60%,$12.00,$2.0600,2019-11-14,Quarter,2019-11-27,Basic Materials,Oil And Gas Pipelines,Unknown,2019-11-15,2019-11-05,No
NRZ,New Residential Investment Corp,2.6,12.52%,$15.56,$2.0000,2019-12-30,Quarter,2020-01-31,Financial,Reit Residential,Non-Qualified,2019-12-31,2019-12-16,No
PSEC,Prospect Capital Corporation,1.2,12.48%,$5.51,$0.7200,2020-03-30,Monthly,2020-04-23,Financial,Asset Management,Unknown,2020-03-31,2020-02-10,No
CAPL,Crossamerica Partners LP,1.8,12.46%,$16.86,$2.1000,2020-01-31,Quarter,2020-02-10,Basic Materials,Oil And Gas Refining And Marketing,Unknown,2020-02-03,2020-01-22,No
HSBC,HSBC Holdings plc,3,12.45%,$33.57,$4.1800,2020-02-27,Quarter,2020-04-14,Financial,Foreign Money Center Banks,Unknown,2020-02-28,N/A,Yes
BKCC,BlackRock Kelso Capital Corporation,2.2,12.44%,$4.50,$0.5600,2019-12-17,Quarter,2020-01-08,Financial,Diversified Investments,Non-Qualified,2019-12-18,2019-10-30,No
IVR,Invesco Mortgage Capital,1.4,12.44%,$16.08,$2.0000,2019-12-26,Quarter,2020-01-28,Financial,Mortgage Investment,Non-Qualified,2019-12-27,2019-12-16,No
TY,Tri-Continental Corp.,1.4,12.42%,$25.33,$3.2460,2019-12-17,Quarter,2019-12-26,Financial,Closed End Fund Equity,Unknown,2019-12-18,2019-11-22,No
HNRG,Hallador Energy Co,0.8,12.40%,$1.29,$0.1600,2020-01-30,Quarter,2020-02-14,Basic Materials,Nonmetallic Mineral Mining,Qualified,2020-01-31,2020-01-16,No
SPH,Suburban Propane L.P.,2.8,12.25%,$19.57,$2.4000,2020-02-03,Quarter,2020-02-11,Utilities,Gas Utilities,Unknown,2020-02-04,2020-01-23,No
WMC,Western Asset Mortgage Capital Corp,1.4,12.19%,$10.02,$1.2400,2019-12-27,Quarter,2020-01-24,Financial,Mortgage Investment,Non-Qualified,2019-12-30,2019-12-19,No
CELP,Cypress Energy Partners LP,1.8,12.19%,$6.89,$0.8400,2020-02-06,Quarter,2020-02-14,Basic Materials,Oil And Gas Equipment And Services,Unknown,2020-02-07,2020-01-28,No
CGBD,"TCG BDC, Inc.",1.6,12.19%,$12.14,$1.4800,2020-03-30,Quarter,2020-04-17,Financial,Diversified Investments,Non-Qualified,2020-03-31,2020-02-24,No
PNNT,Pennantpark Investment Corp ,2.2,12.18%,$5.73,$0.7200,2019-12-18,Quarter,2020-01-02,Financial,Closed End Fund Equity,Non-Qualified,2019-12-19,2019-12-03,No
TYG,Tortoise Energy Infrastructure Corp,0.4,12.15%,$12.65,$1.5800,2020-02-20,Quarter,2020-02-28,Financial,Closed End Fund Equity,Unknown,2020-02-21,2020-02-12,No
VGI,Virtus Global Multi-Sector Inco,1.2,12.13%,$11.95,$1.5120,2020-03-11,Monthly,2020-03-19,Financial,Closed End Fund Equity,Unknown,2020-03-12,2019-12-02,No
IAF,"Aberdeen Australia Equity Fund, Inc.",1.2,12.12%,$4.62,$0.5600,2019-12-30,Quarter,2020-01-10,Financial,Closed End Fund Foreign,Unknown,2019-12-31,2019-12-10,No
SACH,Sachem Capital Corp.,2,12.12%,$3.82,$0.4800,2020-01-16,Quarter,2020-01-27,Financial,Reit Residential,Qualified,2020-01-17,2020-01-07,No
HCAP,Harvest Capital Credit Corp,1.2,12.12%,$7.92,$0.9600,2020-02-20,Monthly,2020-02-28,Financial,Asset Management,Non-Qualified,2020-02-21,2019-11-08,No
SUN,Sunoco LP,2,12.08%,$27.03,$3.3020,2020-02-06,Quarter,2020-02-19,Basic Materials,Oil And Gas Refining And Marketing,Unknown,2020-02-07,2020-01-27,No
GLV,Clough Global Allocation Fund Com Shs of Ben Interest,1,12.04%,$10.05,$1.2096,2020-03-19,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-20,2020-01-10,No
BGCP,BGC Partners ,2.2,12.02%,$4.66,$0.5600,2020-02-25,Quarter,2020-03-11,Financial,Investment Brokerage National,Qualified,2020-02-26,2020-02-05,No
CEQP,Crestwood Equity Partners LP,2.2,12.00%,$20.84,$2.5000,2020-02-06,Quarter,2020-02-14,Basic Materials,Oil And Gas Refining And Marketing,Unknown,2020-02-07,2020-01-16,No
SKT,Tanger Factory Outlet,0.6,11.95%,$11.98,$1.4300,2020-04-29,Quarter,2020-05-15,Financial,Reit Retail,Non-Qualified,2020-04-30,2020-01-27,No
CXW,"CoreCivic, Inc.",0.8,11.88%,$14.81,$1.7600,2020-03-31,Quarter,2020-04-15,Services,Security And Protection Services,Non-Qualified,2020-04-01,2020-02-20,No
FDUS,Fidus Investment Corp,2.2,11.84%,$13.18,$1.5600,2020-03-12,Quarter,2020-03-27,Financial,Closed End Fund Debt,Non-Qualified,2020-03-13,2020-02-14,No
BEBE,Bebe Stores,0.8,11.83%,$5.75,$0.6800,2020-02-26,Quarter,2020-03-12,Consumer Goods,Textile Apparel Clothing,Qualified,2020-02-27,2020-02-10,No
AINV,Apollo Investment Corporation,1.4,11.81%,$15.24,$1.8000,2020-03-19,Quarter,2020-04-06,Financial,Diversified Investments,Qualified,2020-03-20,2020-02-04,No
GLQ,Clough Global Equity Fund,1,11.74%,$11.28,$1.3248,2020-03-19,Monthly,2020-03-31,Financial,Closed End Fund Foreign,Unknown,2020-03-20,2020-01-10,No
MCN,Madison/Claymore Covered Call & Equity Strategy Fund,1.2,11.67%,$5.93,$0.7200,2019-12-16,Quarter,2019-12-30,Financial,Closed End Fund Equity,Unknown,2019-12-17,2019-12-02,No
FCO,"Aberdeen Global Income Fund, Inc.",1.2,11.67%,$7.20,$0.8400,2020-02-20,Monthly,2020-02-28,Financial,Closed End Fund Debt,Unknown,2020-02-21,2020-02-11,No
MITT,"AG Mortgage Investment Trust, Inc.",2.2,11.65%,$14.97,$1.8000,2019-12-30,Quarter,2020-01-31,Financial,Reit Diversified,Non-Qualified,2019-12-31,2019-12-13,No
FDEU,First Trust Dynamic Europe Equity Income Fund,1.2,11.60%,$12.52,$1.4520,2020-03-02,Monthly,2020-03-16,Financial,Closed End Fund Equity,Unknown,2020-03-03,2020-02-20,No
VOC,VOC Energy Trust,0.6,11.49%,$3.60,$0.4400,2020-01-29,Quarter,2020-02-14,Basic Materials,Independent Oil And Gas,Unknown,2020-01-30,2020-01-16,No
RA,Brookfield Real Assets Income Fund Inc.,1.4,11.48%,$20.14,$2.3880,2020-03-17,Monthly,2020-03-26,Financial,Closed End Fund Debt,Unknown,2020-03-18,2020-01-03,No
FTF,Franklin Templeton Limited Duration Income Trust,1.2,11.44%,$8.79,$1.0056,2020-02-27,Monthly,2020-03-13,Financial,Closed End Fund Debt,Unknown,2020-02-28,2020-02-18,No
SFL,Ship Finance International,2,11.42%,$12.14,$1.4000,2020-03-10,Quarter,2020-03-25,Services,Shipping,Unknown,2020-03-11,2020-02-18,No
M,Macy's,0.8,11.41%,$13.23,$1.5100,2020-03-12,Quarter,2020-04-01,Services,Department Stores,Qualified,2020-03-13,2020-02-28,No
TWO,Two Harbors Investment Corp,2.4,11.32%,$13.55,$1.6000,2019-12-30,Quarter,2020-01-24,Financial,Reit Residential,Non-Qualified,2019-12-31,2019-12-17,No
USA,Liberty All-Star Equity Fund Shs. Ben. Int.,1.2,11.31%,$5.87,$0.6800,2020-01-23,Quarter,2020-03-09,Financial,Closed End Fund Equity,Unknown,2020-01-24,2020-01-13,No
SHLX,"Shell Midstream Partners, L.P.",2.2,11.29%,$17.11,$1.8400,2020-01-31,Quarter,2020-02-14,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-03,2020-01-22,No
ARR,ARMOUR Residential REIT Inc.,2.6,11.28%,$18.08,$2.0400,2020-03-13,Monthly,2020-03-27,Financial,Reit Diversified,Non-Qualified,2020-03-16,2020-02-19,No
TRGP,Targa Resources Inc,0.8,11.28%,$32.40,$3.6400,2020-01-30,Quarter,2020-02-18,Utilities,Gas Utilities,Qualified,2020-01-31,2020-01-16,No
AGNC,American Capital Agency,1.8,11.27%,$17.04,$1.9200,2020-02-27,Monthly,2020-03-10,Financial,Mortgage Investment,Non-Qualified,2020-02-28,2020-02-13,No
CVI,"CVR Energy, Inc.",0.6,11.26%,$28.42,$3.2000,2020-02-28,Quarter,2020-03-09,Basic Materials,Oil And Gas Refining And Marketing,Qualified,2020-03-02,2020-02-19,No
ADES,"Advanced Emissions Solutions, Inc.",1.8,11.25%,$8.89,$1.0000,2020-02-20,Quarter,2020-03-10,Industrial Goods,Pollution And Treatment Controls,Qualified,2020-02-21,2020-02-07,No
CHMI,Cherry Hill Mortgage Investment Corp,2,11.22%,$14.26,$1.6000,2019-12-30,Quarter,2020-01-28,Financial,Reit Residential,Qualified,2019-12-31,2019-12-12,No
SMHD,ETRACS Monthly Pay 2xLeveraged US Small Cap High Dividend ETN,0.8,11.21%,$9.31,$1.0896,2020-02-11,Monthly,2020-02-21,Financial,Reit Retail,Unknown,2020-02-12,2020-02-06,No
AB,AllianceBernstein Holding L.P.,2.2,11.18%,$30.41,$3.4000,2020-02-21,Quarter,2020-03-05,Financial,Asset Management,Unknown,2020-02-24,2020-02-12,No
CLNY,Colony Financial Inc.,0.8,11.11%,$3.96,$0.4400,2020-03-30,Quarter,2020-04-15,Financial,Reit Diversified,Qualified,2020-03-31,2020-02-19,No
AHT,Ashford Hospitality Trust Inc,0.4,11.11%,$2.16,$0.2400,2019-12-30,Quarter,2020-01-15,Financial,Reit Hotel Motel,Non-Qualified,2019-12-31,2019-12-05,No
HRZN,Horizon Technology Finance Corp.,1.4,11.07%,$10.84,$1.2000,2020-02-18,Monthly,2020-03-16,Financial,Closed End Fund Equity,Unknown,2020-02-19,2019-10-29,No
CHW,Calamos Global Dynamic Income Fund Com Sh of Ben Int,1.2,11.02%,$7.62,$0.8400,2020-02-13,Monthly,2020-02-20,Financial,Closed End Fund Equity,Unknown,2020-02-14,2020-02-03,No
ET,Energy Transfer LP,2.4,11.01%,$11.08,$1.2200,2020-02-06,Quarter,2020-02-19,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-07,2020-01-27,No
ANH,Anworth Mortgage ,1.6,11.01%,$3.27,$0.3600,2019-12-30,Quarter,2020-01-29,Financial,Real Estate Development,Non-Qualified,2019-12-31,2019-12-17,No
APTS,Preferred Apartment Communities Inc.,1.8,11.01%,$9.54,$1.0500,2020-03-12,Quarter,2020-04-15,Financial,Reit Residential,Non-Qualified,2020-03-13,2020-02-20,No
PBFX,PBF Logistics LP,2.4,11.00%,$18.97,$2.0800,2020-02-24,Quarter,2020-03-17,Basic Materials,Oil And Gas Equipment And Services,Unknown,2020-02-25,2020-02-13,No
MFA,MFA Mortgage Investments ,2.6,10.96%,$7.23,$0.8000,2019-12-27,Quarter,2020-01-31,Financial,Real Estate Development,Non-Qualified,2019-12-30,2019-12-12,No
RC,Ready Capital Corporation,1.8,10.93%,$14.50,$1.6000,2019-12-30,Quarter,2020-01-31,Financial,Reit Diversified,Non-Qualified,2019-12-31,2019-12-11,No
EFC,Ellington Financial LLC,2.6,10.89%,$16.53,$1.8000,2020-02-27,Monthly,2020-03-25,Financial,Mortgage Investment,Non-Qualified,2020-02-28,2020-02-07,No
NLY,Annaly Capital,2.4,10.86%,$8.86,$1.0000,2019-12-30,Quarter,2020-01-31,Financial,Mortgage Investment,Non-Qualified,2019-12-31,2019-12-12,No
GLP,Global Partners L.P.,2.8,10.85%,$19.35,$2.1000,2020-02-07,Quarter,2020-02-14,Services,Basic Materials Wholesale,Unknown,2020-02-10,2020-01-27,No
SCM,Stellus Capital Investment Corp,2.2,10.85%,$11.76,$1.3596,2020-03-30,Monthly,2020-04-15,Financial,Closed End Fund Equity,Unknown,2020-03-31,2020-01-10,No
GAB,Gabelli Equity Trust Inc.,1.4,10.85%,$5.53,$0.6000,2020-03-16,Quarter,2020-03-24,Financial,Closed End Fund Equity,Unknown,2020-03-17,2020-02-12,No
PCF,Putnam High Income Securities Fund Sh Ben Int,1.4,10.81%,$8.74,$0.9840,2020-03-16,Monthly,2020-03-31,Financial,Closed End Fund Debt,Non-Qualified,2020-03-17,2020-01-02,No
PHK,Pimco High Income Fund Com Shs,1,10.74%,$6.61,$0.7360,2020-02-12,Monthly,2020-03-02,Financial,Closed End Fund Debt,Unknown,2020-02-13,2020-02-03,No
NS,NuStar Energy L.P.,3,10.74%,$22.70,$2.4000,2020-02-07,Quarter,2020-02-14,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-10,2020-01-31,No
TCPC,TCP Capital Corp,1.8,10.74%,$13.09,$1.4400,2019-12-16,Quarter,2019-12-31,Financial,Diversified Investments,Unknown,2019-12-17,2019-11-06,No
GLOG,GasLog Ltd,1.4,10.70%,$5.61,$0.6000,2020-02-28,Quarter,2020-03-12,Services,Shipping,Unknown,2020-03-02,2020-02-05,No
