Stock Symbol,Company Name,DARS Rating,Yield,Stock Price,Annual Dividend,Ex-Div Date,Payout Frequency,Pay Date,Sector,Industry,Qualified Dividend,Record Date,Declare Date,ADR
DCP,"DCP Midstream, LP",1,21.37%,$14.01,$3.1200,2020-01-31,Quarter,2020-02-14,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-03,2020-01-22,No
SRLP,Sprague Resources LP,1,21.21%,$12.78,$2.6700,2020-02-03,Quarter,2020-02-10,Basic Materials,Oil And Gas Refining And Marketing,Unknown,2020-02-04,2020-01-24,No
FRO,Frontline Ltd.,0.8,20.94%,$6.90,$1.6000,2020-03-12,Quarter,2020-03-26,Services,Shipping,Unknown,2020-03-13,2020-02-26,No
CRF,"Cornerstone Total Return Fund, Inc",0.8,20.92%,$10.11,$2.1552,2020-03-13,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-16,2019-11-01,No
CLM,"Cornerstone Strategic Value Fund, Inc.",0.8,20.74%,$10.62,$2.2236,2020-03-13,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-16,2019-11-01,No
NGL,NGL Energy Partners L.P.,0.2,20.69%,$7.26,$1.5600,2020-02-06,Quarter,2020-02-14,Basic Materials,Oil And Gas Refining And Marketing,Unknown,2020-02-07,2020-01-24,No
VET,"Vermillion Energy, Inc.",0.8,20.58%,$9.81,$2.0784,2020-02-27,Monthly,2020-03-16,Basic Materials,Oil And Gas Drilling And Exploration,Unknown,2020-02-28,2020-02-18,No
ENLC,EnLink Midstream LLC,1.8,20.38%,$3.52,$0.7500,2020-01-30,Quarter,2020-02-13,Basic Materials,Oil And Gas Refining And Marketing,Unknown,2020-01-31,2020-01-15,No
CUBA,"Herzfeld Caribbean Basin Fund, Inc",0.6,20.33%,$5.48,$1.1385,2019-12-19,Quarter,2019-12-31,Financial,Closed End Fund Foreign,Unknown,2019-12-20,2019-12-03,No
OXLC,Oxford Lane Capital Corp,0.8,20.12%,$8.07,$1.6200,2020-03-16,Monthly,2020-03-31,Financial,Closed End Fund Equity,Non-Qualified,2020-03-17,2019-10-29,No
WPG,Washington Prime Group Inc,0.8,19.46%,$2.55,$0.5000,2020-03-06,Quarter,2020-03-16,Financial,Property Management,Non-Qualified,2020-03-09,2020-02-26,No
WES,Western Gas Partners L.P.,1.2,18.73%,$12.72,$2.4880,2020-01-30,Quarter,2020-02-13,Basic Materials,Oil And Gas Pipelines,Unknown,2020-01-31,2020-01-20,No
CRT,Cross Timbers Royalty Trust Units,0.6,17.57%,$7.25,$1.2719,2020-02-27,Monthly,2020-03-13,Basic Materials,Oil And Gas Drilling And Exploration,Unknown,2020-02-28,2020-02-18,No
USDP,USD Partners LP,0.8,17.54%,$8.75,$1.4800,2020-02-07,Quarter,2020-02-19,Services,Railroads,Unknown,2020-02-10,2020-01-30,No
ECC,Eagle Point Credit Company Inc.,0.6,16.81%,$14.13,$2.4000,2020-03-11,Monthly,2020-03-31,Financial,Credit Services,Qualified,2020-03-12,2020-01-02,No
MDRR,"Medalist Diversified REIT, Inc.",0.2,16.39%,$2.78,$0.5000,2020-02-10,Quarter,2020-03-10,Financial,Reit Diversified,Non-Qualified,2020-02-11,2019-11-29,No
PVL,Permianville Royalty Trust,1,16.24%,$1.81,$0.2940,2020-02-27,Monthly,2020-03-13,Basic Materials,Oil And Gas Refining And Marketing,Non-Qualified,2020-02-28,2020-02-18,No
MARPS,Marine Petroleum Trust Units Ben. Int.,0.2,16.16%,$1.63,$0.2618,2020-02-27,Quarter,2020-03-30,Financial,Diversified Investments,Non-Qualified,2020-02-28,2020-02-18,No
ORC,Orchid Island Capital Inc,2,16.00%,$6.01,$0.9600,2020-02-27,Monthly,2020-03-27,Financial,Mortgage Investment,Non-Qualified,2020-02-28,2020-02-12,No
OXSQ,Oxford Square Capital Corp.,1,15.76%,$5.00,$0.8040,2020-03-16,Monthly,2020-03-31,Financial,Diversified Investments,Unknown,2020-03-17,2019-10-25,No
ITUB,Itau Unibanco Banco Holding SA,1.6,15.75%,$6.67,$1.0946,2020-02-25,Monthly,2020-03-16,Financial,Foreign Money Center Banks,Unknown,2020-02-26,N/A,Yes
DKL,Delek Logistics Partners LP,0.8,15.68%,$21.55,$3.5400,2020-02-03,Quarter,2020-02-12,Basic Materials,Independent Oil And Gas,Unknown,2020-02-04,2020-01-24,No
MSB,Mesabi Trust,0.4,15.60%,$18.65,$2.8000,2020-01-29,Quarter,2020-02-20,Financial,Diversified Investments,Unknown,2020-01-30,2020-01-14,No
PBT,Permian Basin Royalty Trust Units Ben. Int.,0.2,15.55%,$3.84,$0.6033,2020-02-27,Monthly,2020-03-13,Financial,Diversified Investments,Unknown,2020-02-28,2020-02-18,No
USAC,Usa Compression Partners LP,0.8,15.40%,$13.68,$2.1000,2020-01-24,Quarter,2020-02-07,Basic Materials,Oil And Gas Equipment And Services,Unknown,2020-01-27,2020-01-16,No
GGN,Gabelli Global Gold Natural Resources & Income Trust Com Shs Ben Int,0.8,15.31%,$3.87,$0.6000,2020-03-16,Monthly,2020-03-24,Financial,Closed End Fund Equity,Unknown,2020-03-17,2019-11-15,No
HNRG,Hallador Energy Co,0.8,15.24%,$1.00,$0.1600,2020-01-30,Quarter,2020-02-14,Basic Materials,Nonmetallic Mineral Mining,Qualified,2020-01-31,2020-01-16,No
MVO,MV Oil Trust,0.2,15.20%,$4.81,$0.7600,2020-01-14,Quarter,2020-01-24,Basic Materials,Oil And Gas Drilling And Exploration,Non-Qualified,2020-01-15,2020-01-03,No
GECC,Great Elm Capital Corp,0.8,15.00%,$6.70,$0.9960,2020-03-30,Monthly,2020-04-15,Financial,Asset Management,Unknown,2020-03-31,2019-12-06,No
BKEP,Blueknight Energy Partners L.P.,0.4,14.81%,$1.07,$0.1600,2020-02-03,Quarter,2020-02-14,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-04,2020-01-22,No
FLMN,Falcon Minerals Corporation,1.2,14.75%,$3.65,$0.5400,2020-02-24,Quarter,2020-03-09,Basic Materials,Oil And Gas Drilling And Exploration,Qualified,2020-02-25,2020-02-13,No
NDP,"Tortoise Energy Independence Fund, Inc.",0.2,14.60%,$2.65,$0.4000,2020-02-20,Quarter,2020-02-28,Financial,Closed End Fund Equity,Unknown,2020-02-21,2020-02-12,No
MAC,Macerich Company,1,14.55%,$20.50,$3.0000,2020-02-20,Quarter,2020-03-03,Financial,Reit Retail,Non-Qualified,2020-02-21,2020-01-31,No
HMLP,Hoegh LNG Partners LP,1.6,14.43%,$12.15,$1.7600,2020-01-29,Quarter,2020-02-14,Services,Shipping,Unknown,2020-01-30,2020-01-16,No
UAN,CVR Partners L.P. ,0.2,14.29%,$1.83,$0.2800,2019-11-01,Quarter,2019-11-12,Basic Materials,Agricultural Chemicals,Unknown,2019-11-04,2019-10-22,No
CNXM,CNX Midstream Partners LP,2.4,14.25%,$11.38,$1.6572,2020-02-04,Quarter,2020-02-13,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-05,2020-01-23,No
CPTA,Capitala Finance Corp,1,14.08%,$7.00,$0.9996,2020-03-20,Monthly,2020-03-30,Financial,Closed End Fund Equity,Qualified,2020-03-23,2020-01-02,No
TCRD,"THL Credit, Inc.",1.2,14.02%,$6.03,$0.8400,2019-12-13,Quarter,2019-12-31,Financial,Investment Brokerage Regional,Non-Qualified,2019-12-16,2019-10-31,No
MPLX,MPLX LP,1.6,14.02%,$19.05,$2.7500,2020-02-03,Quarter,2020-02-14,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-04,2020-01-23,No
BSM,Black Stone Minerals LP,0.4,14.00%,$8.50,$1.2000,2020-02-13,Quarter,2020-02-24,Services,Business Services,Unknown,2020-02-17,2020-02-05,No
VGR,Vector Group,1.6,13.99%,$11.36,$1.6000,2019-12-16,Quarter,2019-12-30,Consumer Goods,Cigarettes,Qualified,2019-12-17,2019-11-05,No
QUAD,Quad Graphics,0.2,13.92%,$4.06,$0.6000,2020-02-27,Quarter,2020-03-09,Services,Business Services,Qualified,2020-02-28,2020-02-18,No
KRP,"Kimbell Royalty Partners, LP",1.2,13.66%,$10.77,$1.5200,2020-01-31,Quarter,2020-02-10,Basic Materials,Oil And Gas Drilling And Exploration,Unknown,2020-02-03,2020-01-24,No
FSK,FS KKR Capital Corp.,1.4,13.62%,$5.55,$0.7600,2020-03-17,Quarter,2020-04-02,Financial,Asset Management,Unknown,2020-03-18,2020-02-27,No
GPP,Green Plains Partners LP,1,13.61%,$13.80,$1.9000,2020-01-30,Quarter,2020-02-07,Basic Materials,Oil And Gas Pipelines,Unknown,2020-01-31,2020-01-16,No
OCCI,OFS Credit Company Inc,1,13.58%,$15.43,$2.0808,2020-03-23,Monthly,2020-03-31,Financial,Diversified Investments,Qualified,2020-03-24,2020-01-29,No
NMM,Navios Maritime Partners L.P.,1.2,13.57%,$8.76,$1.2000,2020-02-10,Quarter,2020-02-13,Services,Shipping,Unknown,2020-02-11,2020-01-21,No
RIV,Rivernorth Opportunities Fund Inc.,1.2,13.57%,$16.23,$2.1600,2020-03-16,Monthly,2020-03-31,Financial,Asset Management,Unknown,2020-03-17,2020-01-03,No
MRCC,Monroe Capital Corp,1.2,13.54%,$10.76,$1.4000,2020-03-13,Quarter,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-16,2020-03-03,No
NYMT,New York Mortgage Trust Inc,2.4,13.31%,$6.03,$0.8000,2019-12-19,Quarter,2020-01-27,Financial,Reit Residential,Non-Qualified,2019-12-20,2019-12-10,No
OFS,"Orchard First Source Capital, Inc.",1,13.31%,$10.35,$1.3600,2019-12-23,Quarter,2019-12-31,Financial,Closed End Fund Equity,Non-Qualified,2019-12-24,2019-11-06,No
PRT,PermRock Royalty Trust,1.2,13.28%,$4.66,$0.6134,2020-02-27,Monthly,2020-03-13,Basic Materials,Oil And Gas Equipment And Services,Unknown,2020-02-28,2020-02-18,No
HIE,Miller/Howard High Income Equity Fund Common Shares of Beneficial Interest,0.8,13.27%,$10.27,$1.3920,2020-03-23,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-24,2020-01-02,No
XIN,"Xinyuan Real Estate Co., Ltd.",0.4,13.27%,$3.04,$0.3900,2019-12-17,Quarter,2020-01-16,Industrial Goods,Residential Construction,Unknown,2019-12-18,N/A,Yes
NRP,National Resource Partners L.P.,1.2,13.21%,$13.61,$1.8000,2020-02-06,Quarter,2020-02-14,Basic Materials,Industrial Metals And Minerals,Unknown,2020-02-07,2020-01-23,No
AHC,A. H. Belo Corporation,2.2,13.17%,$2.42,$0.3200,2020-02-13,Quarter,2020-03-06,Services,Publishing Newspapers,Qualified,2020-02-14,2019-12-05,No
HSBC,HSBC Holdings plc,3,12.83%,$32.73,$4.1800,2020-02-27,Quarter,2020-04-14,Financial,Foreign Money Center Banks,Unknown,2020-02-28,N/A,Yes
CPLP,Capital Product Partners L.P.,1,12.70%,$10.90,$1.4000,2020-01-31,Quarter,2020-02-11,Services,Shipping,Unknown,2020-02-03,2020-01-21,No
IEP,Icahn Enterprises L.P. ,1.8,12.68%,$62.78,$8.0000,2020-03-19,Quarter,2020-04-28,Financial,Property Management,Unknown,2020-03-20,2020-02-26,No
KYN,Kayne Anderson MLP Investment Co,0.8,12.64%,$11.24,$1.4400,2020-03-18,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-19,2019-12-18,No
OMP,Oasis Midstream Partners LP,1.2,12.60%,$10.80,$2.0600,2019-11-14,Quarter,2019-11-27,Basic Materials,Oil And Gas Pipelines,Unknown,2019-11-15,2019-11-05,No
ZTR,"Zweig Total Return Fund, Inc. (The) Com.",1,12.59%,$11.11,$1.3560,2020-03-11,Monthly,2020-03-19,Financial,Closed End Fund Debt,Unknown,2020-03-12,2019-12-02,No
PSEC,Prospect Capital Corporation,1.2,12.59%,$5.74,$0.7200,2020-03-30,Monthly,2020-04-23,Financial,Asset Management,Unknown,2020-03-31,2020-02-10,No
HCAP,Harvest Capital Credit Corp,1.2,12.48%,$7.65,$0.9600,2020-02-20,Monthly,2020-02-28,Financial,Asset Management,Non-Qualified,2020-02-21,2019-11-08,No
KNOP,KNOT Offshore Partners LP,2.4,12.45%,$16.32,$2.0800,2020-01-30,Quarter,2020-02-13,Services,Shipping,Unknown,2020-01-31,2020-01-15,No
TY,Tri-Continental Corp.,1.4,12.44%,$26.55,$3.2460,2019-12-17,Quarter,2019-12-26,Financial,Closed End Fund Equity,Unknown,2019-12-18,2019-11-22,No
TYG,Tortoise Energy Infrastructure Corp,0.4,12.39%,$12.68,$1.5800,2020-02-20,Quarter,2020-02-28,Financial,Closed End Fund Equity,Unknown,2020-02-21,2020-02-12,No
SPH,Suburban Propane L.P.,2.8,12.39%,$19.10,$2.4000,2020-02-03,Quarter,2020-02-11,Utilities,Gas Utilities,Unknown,2020-02-04,2020-01-23,No
CEQP,Crestwood Equity Partners LP,2.2,12.38%,$19.40,$2.5000,2020-02-06,Quarter,2020-02-14,Basic Materials,Oil And Gas Refining And Marketing,Unknown,2020-02-07,2020-01-16,No
SHI,"Sinopec Shanghai Petrochemical Co., Ltd. ADR (Sponsored) Repr Cl H Shs",0.6,12.36%,$25.72,$3.2211,2019-06-21,Annually,2019-07-29,Basic Materials,Oil And Gas Refining And Marketing,Unknown,2019-06-24,N/A,Yes
NRZ,New Residential Investment Corp,2.6,12.35%,$16.20,$2.0000,2019-12-30,Quarter,2020-01-31,Financial,Reit Residential,Non-Qualified,2019-12-31,2019-12-16,No
CAPL,Crossamerica Partners LP,1.8,12.28%,$16.99,$2.1000,2020-01-31,Quarter,2020-02-10,Basic Materials,Oil And Gas Refining And Marketing,Unknown,2020-02-03,2020-01-22,No
PNNT,Pennantpark Investment Corp ,2.2,12.27%,$6.02,$0.7200,2020-03-17,Quarter,2020-04-01,Financial,Closed End Fund Equity,Non-Qualified,2020-03-18,2020-03-03,No
GPM,Guggenheim Enhanced Equity Income Fund,1,12.24%,$7.69,$0.9600,2020-03-12,Quarter,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-13,2020-03-02,No
CVI,"CVR Energy, Inc.",0.6,12.18%,$25.03,$3.2000,2020-02-28,Quarter,2020-03-09,Basic Materials,Oil And Gas Refining And Marketing,Qualified,2020-03-02,2020-02-19,No
HEP,Holly Energy Partners L.P.,1.8,12.17%,$22.13,$2.6900,2020-01-31,Quarter,2020-02-13,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-03,2020-01-23,No
VGI,Virtus Global Multi-Sector Inco,1.2,12.13%,$12.90,$1.5120,2020-03-11,Monthly,2020-03-19,Financial,Closed End Fund Equity,Unknown,2020-03-12,2019-12-02,No
GLP,Global Partners L.P.,2.8,12.11%,$17.13,$2.1000,2020-02-07,Quarter,2020-02-14,Services,Basic Materials Wholesale,Unknown,2020-02-10,2020-01-27,No
BEBE,Bebe Stores,0.8,12.04%,$5.70,$0.6800,2020-02-26,Quarter,2020-03-12,Consumer Goods,Textile Apparel Clothing,Qualified,2020-02-27,2020-02-10,No
SACH,Sachem Capital Corp.,2,12.00%,$4.11,$0.4800,2020-01-16,Quarter,2020-01-27,Financial,Reit Residential,Qualified,2020-01-17,2020-01-07,No
SMHD,ETRACS Monthly Pay 2xLeveraged US Small Cap High Dividend ETN,0.8,11.97%,$9.63,$1.0896,2020-02-11,Monthly,2020-02-21,Financial,Reit Retail,Unknown,2020-02-12,2020-02-06,No
SKT,Tanger Factory Outlet,0.6,11.97%,$12.07,$1.4300,2020-04-29,Quarter,2020-05-15,Financial,Reit Retail,Non-Qualified,2020-04-30,2020-01-27,No
M,Macy's,0.8,11.94%,$11.99,$1.5100,2020-03-12,Quarter,2020-04-01,Services,Department Stores,Qualified,2020-03-13,2020-02-28,No
MMLP,Martin Midstream Partners L.P.,0.4,11.85%,$2.11,$0.2500,2020-02-06,Quarter,2020-02-14,Basic Materials,Independent Oil And Gas,Unknown,2020-02-07,2020-01-28,No
WMC,Western Asset Mortgage Capital Corp,1.4,11.79%,$10.55,$1.2400,2019-12-27,Quarter,2020-01-24,Financial,Mortgage Investment,Non-Qualified,2019-12-30,2019-12-19,No
SUN,Sunoco LP,2,11.77%,$28.17,$3.3020,2020-02-06,Quarter,2020-02-19,Basic Materials,Oil And Gas Refining And Marketing,Unknown,2020-02-07,2020-01-27,No
IVR,Invesco Mortgage Capital,1.4,11.74%,$17.18,$2.0000,2019-12-26,Quarter,2020-01-28,Financial,Mortgage Investment,Non-Qualified,2019-12-27,2019-12-16,No
BKCC,BlackRock Kelso Capital Corporation,2.2,11.74%,$4.67,$0.5600,2020-03-16,Quarter,2020-04-07,Financial,Diversified Investments,Non-Qualified,2020-03-17,2020-03-04,No
AHT,Ashford Hospitality Trust Inc,0.4,11.71%,$1.96,$0.2400,2019-12-30,Quarter,2020-01-15,Financial,Reit Hotel Motel,Non-Qualified,2019-12-31,2019-12-05,No
VOC,VOC Energy Trust,0.6,11.67%,$3.79,$0.4400,2020-01-29,Quarter,2020-02-14,Basic Materials,Independent Oil And Gas,Unknown,2020-01-30,2020-01-16,No
CGBD,"TCG BDC, Inc.",1.6,11.64%,$12.81,$1.4800,2020-03-30,Quarter,2020-04-17,Financial,Diversified Investments,Non-Qualified,2020-03-31,2020-02-24,No
CELP,Cypress Energy Partners LP,1.8,11.62%,$7.00,$0.8400,2020-02-06,Quarter,2020-02-14,Basic Materials,Oil And Gas Equipment And Services,Unknown,2020-02-07,2020-01-28,No
RA,Brookfield Real Assets Income Fund Inc.,1.4,11.53%,$21.20,$2.3880,2020-03-17,Monthly,2020-03-26,Financial,Closed End Fund Debt,Unknown,2020-03-18,2020-01-03,No
MCN,Madison/Claymore Covered Call & Equity Strategy Fund,1.2,11.52%,$6.31,$0.7200,2019-12-16,Quarter,2019-12-30,Financial,Closed End Fund Equity,Unknown,2019-12-17,2019-12-02,No
MITT,"AG Mortgage Investment Trust, Inc.",2.2,11.49%,$15.72,$1.8000,2019-12-30,Quarter,2020-01-31,Financial,Reit Diversified,Non-Qualified,2019-12-31,2019-12-13,No
IAF,"Aberdeen Australia Equity Fund, Inc.",1.2,11.48%,$4.90,$0.5600,2019-12-30,Quarter,2020-01-10,Financial,Closed End Fund Foreign,Unknown,2019-12-31,2019-12-10,No
BGCP,BGC Partners ,2.2,11.45%,$4.74,$0.5600,2020-02-25,Quarter,2020-03-11,Financial,Investment Brokerage National,Qualified,2020-02-26,2020-02-05,No
TWO,Two Harbors Investment Corp,2.4,11.44%,$14.07,$1.6000,2019-12-30,Quarter,2020-01-24,Financial,Reit Residential,Non-Qualified,2019-12-31,2019-12-17,No
GEO,"The Geo Group, Inc.",1.6,11.36%,$17.06,$1.9200,2020-02-13,Quarter,2020-02-21,Services,Security And Protection Services,Non-Qualified,2020-02-14,2020-02-03,No
PBFX,PBF Logistics LP,2.4,11.35%,$17.67,$2.0800,2020-02-24,Quarter,2020-03-17,Basic Materials,Oil And Gas Equipment And Services,Unknown,2020-02-25,2020-02-13,No
GGT,Gabelli Global Multimedia Trust Inc.,1,11.34%,$7.54,$0.8800,2020-03-16,Quarter,2020-03-24,Financial,Closed End Fund Equity,Unknown,2020-03-17,2020-02-12,No
BGS,B&G Foods,0.4,11.34%,$16.61,$1.9000,2020-03-30,Quarter,2020-04-30,Consumer Goods,Processed And Packaged Goods,Qualified,2020-03-31,2020-02-24,No
BTU,Peabody Energy,0.4,11.33%,$4.75,$0.5800,2019-10-29,Quarter,2019-11-29,Basic Materials,Industrial Metals And Minerals,Qualified,2019-10-30,2019-10-16,No
SFL,Ship Finance International,2,11.32%,$12.38,$1.4000,2020-03-10,Quarter,2020-03-25,Services,Shipping,Unknown,2020-03-11,2020-02-18,No
SHLX,"Shell Midstream Partners, L.P.",2.2,11.31%,$16.23,$1.8400,2020-01-31,Quarter,2020-02-14,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-03,2020-01-22,No
GLOG,GasLog Ltd,1.4,11.30%,$4.78,$0.6000,2020-02-28,Quarter,2020-03-12,Services,Shipping,Unknown,2020-03-02,2020-02-05,No
AINV,Apollo Investment Corporation,1.4,11.26%,$15.86,$1.8000,2020-03-19,Quarter,2020-04-06,Financial,Diversified Investments,Qualified,2020-03-20,2020-02-04,No
FDUS,Fidus Investment Corp,2.2,11.15%,$13.84,$1.5600,2020-03-12,Quarter,2020-03-27,Financial,Closed End Fund Debt,Non-Qualified,2020-03-13,2020-02-14,No
USA,Liberty All-Star Equity Fund Shs. Ben. Int.,1.2,11.09%,$6.23,$0.6800,2020-01-23,Quarter,2020-03-09,Financial,Closed End Fund Equity,Unknown,2020-01-24,2020-01-13,No
PCF,Putnam High Income Securities Fund Sh Ben Int,1.4,11.04%,$8.76,$0.9840,2020-03-16,Monthly,2020-03-31,Financial,Closed End Fund Debt,Non-Qualified,2020-03-17,2020-01-02,No
BPMP,BP Midstream Partners LP,2.4,11.04%,$12.55,$1.3900,2020-01-29,Quarter,2020-02-13,Basic Materials,Oil And Gas Pipelines,Unknown,2020-01-30,2020-01-16,No
ADES,"Advanced Emissions Solutions, Inc.",1.8,11.03%,$8.91,$1.0000,2020-02-20,Quarter,2020-03-10,Industrial Goods,Pollution And Treatment Controls,Qualified,2020-02-21,2020-02-07,No
TRGP,Targa Resources Inc,0.8,11.01%,$32.89,$3.6400,2020-01-30,Quarter,2020-02-18,Utilities,Gas Utilities,Qualified,2020-01-31,2020-01-16,No
CPLG,"CorePoint Lodging, Inc.",0.6,10.97%,$7.03,$0.8000,2019-12-27,Quarter,2020-01-15,Financial,Reit Hotel Motel,Unknown,2019-12-30,2019-11-13,No
TNP-PR-E,Tsakos Energy Navigation Ltd Series E Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Shares,0.8,10.96%,$20.35,$2.3125,2020-02-24,Quarter,2020-02-28,Services,Shipping,Unknown,2020-02-25,2020-02-04,No
FTF,Franklin Templeton Limited Duration Income Trust,1.2,10.92%,$9.09,$1.0056,2020-02-27,Monthly,2020-03-13,Financial,Closed End Fund Debt,Unknown,2020-02-28,2020-02-18,No
CHMI,Cherry Hill Mortgage Investment Corp,2,10.89%,$14.56,$1.6000,2019-12-30,Quarter,2020-01-28,Financial,Reit Residential,Qualified,2019-12-31,2019-12-12,No
FCO,"Aberdeen Global Income Fund, Inc.",1.2,10.87%,$7.73,$0.8400,2020-02-20,Monthly,2020-02-28,Financial,Closed End Fund Debt,Unknown,2020-02-21,2020-02-11,No
GLQ,Clough Global Equity Fund,1,10.85%,$12.04,$1.3248,2020-03-19,Monthly,2020-03-31,Financial,Closed End Fund Foreign,Unknown,2020-03-20,2020-01-10,No
RC,Ready Capital Corporation,1.8,10.83%,$14.79,$1.6000,2019-12-30,Quarter,2020-01-31,Financial,Reit Diversified,Non-Qualified,2019-12-31,2019-12-11,No
SCM,Stellus Capital Investment Corp,2.2,10.77%,$12.85,$1.3596,2020-03-30,Monthly,2020-04-15,Financial,Closed End Fund Equity,Unknown,2020-03-31,2020-01-10,No
MFA,MFA Mortgage Investments ,2.6,10.75%,$7.45,$0.8000,2019-12-27,Quarter,2020-01-31,Financial,Real Estate Development,Non-Qualified,2019-12-30,2019-12-12,No
GLV,Clough Global Allocation Fund Com Shs of Ben Interest,1,10.73%,$11.12,$1.2096,2020-03-19,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-20,2020-01-10,No
PHK,Pimco High Income Fund Com Shs,1,10.70%,$7.01,$0.7360,2020-02-12,Monthly,2020-03-02,Financial,Closed End Fund Debt,Unknown,2020-02-13,2020-02-03,No
EFC,Ellington Financial LLC,2.6,10.66%,$16.75,$1.8000,2020-02-27,Monthly,2020-03-25,Financial,Mortgage Investment,Non-Qualified,2020-02-28,2020-02-07,No
CLNY,Colony Financial Inc.,0.8,10.65%,$4.01,$0.4400,2020-03-30,Quarter,2020-04-15,Financial,Reit Diversified,Qualified,2020-03-31,2020-02-19,No
NLY,Annaly Capital,2.4,10.65%,$9.37,$1.0000,2019-12-30,Quarter,2020-01-31,Financial,Mortgage Investment,Non-Qualified,2019-12-31,2019-12-12,No
CXW,"CoreCivic, Inc.",0.8,10.64%,$16.41,$1.7600,2020-03-31,Quarter,2020-04-15,Services,Security And Protection Services,Non-Qualified,2020-04-01,2020-02-20,No
TCPC,TCP Capital Corp,1.8,10.61%,$13.79,$1.4400,2020-03-16,Quarter,2020-03-31,Financial,Diversified Investments,Unknown,2020-03-17,2020-02-26,No
NCMI,National Cinemedia,3,10.58%,$6.85,$0.7600,2020-03-02,Quarter,2020-03-17,Services,Marketing Services,Qualified,2020-03-03,2020-02-20,No
ET,Energy Transfer LP,2.4,10.57%,$11.38,$1.2200,2020-02-06,Quarter,2020-02-19,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-07,2020-01-27,No
NS,NuStar Energy L.P.,3,10.55%,$21.44,$2.4000,2020-02-07,Quarter,2020-02-14,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-10,2020-01-31,No
AGNC,American Capital Agency,1.8,10.53%,$17.83,$1.9200,2020-02-27,Monthly,2020-03-10,Financial,Mortgage Investment,Non-Qualified,2020-02-28,2020-02-13,No
FDEU,First Trust Dynamic Europe Equity Income Fund,1.2,10.51%,$13.39,$1.4520,2020-03-02,Monthly,2020-03-16,Financial,Closed End Fund Equity,Unknown,2020-03-03,2020-02-20,No
APTS,Preferred Apartment Communities Inc.,1.8,10.50%,$9.87,$1.0500,2020-03-12,Quarter,2020-04-15,Financial,Reit Residential,Non-Qualified,2020-03-13,2020-02-20,No
ANH,Anworth Mortgage ,1.6,10.47%,$3.33,$0.3600,2019-12-30,Quarter,2020-01-29,Financial,Real Estate Development,Non-Qualified,2019-12-31,2019-12-17,No
